date,Salesforce,Docusign,Oracle,Shopify,Workday,Weekday
12/15/2024,20,20,12,46,31,1
12/16/2024,76,87,26,76,76,2
12/17/2024,80,89,28,76,75,3
12/18/2024,89,95,28,78,75,4
12/19/2024,80,97,26,79,77,5
12/20/2024,71,99,25,74,73,6
12/21/2024,30,26,16,54,36,7
12/22/2024,25,18,13,51,31,1
12/23/2024,51,74,21,65,69,2
12/24/2024,35,41,18,55,45,3
12/25/2024,13,10,12,41,27,4
12/26/2024,40,53,18,63,51,5
12/27/2024,40,63,17,67,56,6
12/28/2024,26,22,13,55,37,7
12/29/2024,16,18,12,52,33,1
12/30/2024,54,75,18,71,63,2
12/31/2024,43,63,16,64,52,3
